5.7s 1 0.00s - Debugger warning: It seems that frozen modules are being used, which may
5.7s 2 0.00s - make the debugger miss breakpoints. Please pass -Xfrozen_modules=off
5.7s 3 0.00s - to python to disable frozen modules.
5.7s 4 0.00s - Note: Debugging will proceed. Set PYDEVD_DISABLE_FILE_VALIDATION=1 to disable this validation.
6.4s 5 0.00s - Debugger warning: It seems that frozen modules are being used, which may
6.4s 6 0.00s - make the debugger miss breakpoints. Please pass -Xfrozen_modules=off
6.4s 7 0.00s - to python to disable frozen modules.
6.4s 8 0.00s - Note: Debugging will proceed. Set PYDEVD_DISABLE_FILE_VALIDATION=1 to disable this validation.
33.6s 9 /tmp/ipykernel_19/3605133585.py:186: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
33.6s 10 scaler = torch.cuda.amp.GradScaler() if use_bfloat16 else None
54.4s 11 /tmp/ipykernel_19/3147236215.py:26: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
54.4s 12 with torch.cuda.amp.autocast(dtype=torch.bfloat16, enabled=use_bfloat16):
72.2s 13 Validation loss: 0.47929404217463273
73.1s 14 /tmp/ipykernel_19/713041530.py:62: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
73.1s 15 with torch.cuda.amp.autocast(dtype=torch.bfloat16, enabled=use_bfloat16):
1068.2s 346 loss: 0.0033159838403328235, maskA: 299.0, maskB: 1.0
1070.7s 347 loss: 0.00334573774973688, maskA: 299.0, maskB: 1.0
1073.1s 348 loss: 0.003355596107407531, maskA: 299.0, maskB: 1.0
1075.6s 349 loss: 0.003364799078270666, maskA: 299.0, maskB: 1.0
1078.0s 350 loss: 0.0033824524801830606, maskA: 299.0, maskB: 1.0
1080.5s 351 loss: 0.0033987999676020164, maskA: 299.0, maskB: 1.0
1082.9s 352 loss: 0.0033898145098201172, maskA: 299.0, maskB: 1.0
1085.3s 353 loss: 0.0033738241195905862, maskA: 299.0, maskB: 1.0
1087.8s 354 loss: 0.0033706056558650286, maskA: 299.0, maskB: 1.0
1090.2s 355 loss: 0.0033603588105802227, maskA: 299.0, maskB: 1.0
1092.7s 356 loss: 0.0033652391509789966, maskA: 299.0, maskB: 1.0
1095.1s 357 loss: 0.003360921291059714, maskA: 299.0, maskB: 1.0
1112.1s 358 Validation loss: 0.0036574805406137155
1114.3s 359 loss: 0.0033529258373578242, maskA: 299.0, maskB: 1.0
1116.7s 360 loss: 0.0033311054942976328, maskA: 299.0, maskB: 1.0
1119.2s 361 loss: 0.003309881450266947, maskA: 299.0, maskB: 1.0
1121.6s 362 loss: 0.003296692209562073, maskA: 299.0, maskB: 1.0
1124.0s 363 loss: 0.003289227944354625, maskA: 299.0, maskB: 1.0
1126.5s 364 loss: 0.0033316213932114832, maskA: 299.0, maskB: 1.0
1128.9s 365 loss: 0.0033699826820074528, maskA: 299.0, maskB: 1.0
1131.4s 366 loss: 0.003415911712670689, maskA: 299.0, maskB: 1.0
1133.8s 367 loss: 0.003456439950548292, maskA: 299.0, maskB: 1.0
1136.2s 368 loss: 0.0034753785938632796, maskA: 299.0, maskB: 1.0
1138.7s 369 loss: 0.0034755484393554524, maskA: 299.0, maskB: 1.0
1141.1s 370 loss: 0.0034745830759396945, maskA: 299.0, maskB: 1.0
1143.6s 371 loss: 0.003510991128831922, maskA: 299.0, maskB: 1.0
1146.0s 372 loss: 0.0035504248071087027, maskA: 299.0, maskB: 1.0
1148.5s 373 loss: 0.003588445837516483, maskA: 299.0, maskB: 1.0
1150.9s 374 loss: 0.0036138429786772472, maskA: 299.0, maskB: 1.0
1153.4s 375 loss: 0.0036157957567381086, maskA: 299.0, maskB: 1.0
1155.8s 376 loss: 0.00361078373630477, maskA: 299.0, maskB: 1.0
1158.2s 377 loss: 0.003615298581435434, maskA: 299.0, maskB: 1.0
1160.7s 378 loss: 0.0036207762270203526, maskA: 299.0, maskB: 1.0
1163.1s 379 loss: 0.003627525001316572, maskA: 299.0, maskB: 1.0
1165.6s 380 loss: 0.0036322603589342972, maskA: 299.0, maskB: 1.0
1168.0s 381 loss: 0.0036459503084713086, maskA: 299.0, maskB: 1.0
1170.5s 382 loss: 0.0036558027488463618, maskA: 299.0, maskB: 1.0
1172.9s 383 loss: 0.0036519382897746847, maskA: 299.0, maskB: 1.0
1175.3s 384 loss: 0.0036537688699539764, maskA: 299.0, maskB: 1.0
1177.8s 385 loss: 0.003650724345851205, maskA: 299.0, maskB: 1.0
1180.2s 386 loss: 0.003651650716857465, maskA: 299.0, maskB: 1.0
1182.7s 387 loss: 0.003654356167184263, maskA: 299.0, maskB: 1.0
1185.1s 388 loss: 0.003654319927650922, maskA: 299.0, maskB: 1.0
1202.1s 389 Validation loss: 0.0037346171328606894
1204.3s 390 loss: 0.003657705616641943, maskA: 299.0, maskB: 1.0
1206.7s 391 loss: 0.0036550300560705593, maskA: 299.0, maskB: 1.0
1209.1s 392 loss: 0.0036396362259246673, maskA: 299.0, maskB: 1.0
1211.6s 393 loss: 0.003623054972087693, maskA: 299.0, maskB: 1.0
1214.1s 394 loss: 0.0036079974178674407, maskA: 299.0, maskB: 1.0
1216.5s 395 loss: 0.0035966832244650544, maskA: 299.0, maskB: 1.0
1218.9s 396 loss: 0.003586322854329268, maskA: 299.0, maskB: 1.0
1221.4s 397 loss: 0.0035837981022571468, maskA: 299.0, maskB: 1.0
1223.8s 398 loss: 0.003607901210831129, maskA: 299.0, maskB: 1.0
1226.2s 399 loss: 0.003616137688380575, maskA: 299.0, maskB: 1.0
1228.7s 400 loss: 0.0036114350292825457, maskA: 299.0, maskB: 1.0
1231.1s 401 loss: 0.003599922543695211, maskA: 299.0, maskB: 1.0
1233.6s 402 loss: 0.003596294904001316, maskA: 299.0, maskB: 1.0
1236.0s 403 loss: 0.0036118494272462135, maskA: 299.0, maskB: 1.0
1239.9s 404 loss: 0.0060643902979791164, maskA: 299.0, maskB: 1.0
1242.4s 405 loss: 0.007281762547791004, maskA: 299.0, maskB: 1.0
1244.9s 406 loss: 0.007692670360917137, maskA: 299.0, maskB: 1.0
1247.3s 407 loss: 0.00803409088703413, maskA: 299.0, maskB: 1.0
1249.7s 408 loss: 0.007920834071161906, maskA: 299.0, maskB: 1.0
1252.2s 409 loss: 0.007136733805322472, maskA: 299.0, maskB: 1.0
1254.6s 410 loss: 0.00695426781570203, maskA: 299.0, maskB: 1.0
1257.1s 411 loss: 0.006593668475930749, maskA: 299.0, maskB: 1.0
1259.5s 412 loss: 0.006370822074075724, maskA: 299.0, maskB: 1.0
1261.9s 413 loss: 0.006272131019364019, maskA: 299.0, maskB: 1.0
1264.4s 414 loss: 0.006123007268248366, maskA: 299.0, maskB: 1.0
1266.8s 415 loss: 0.005911328928410873, maskA: 299.0, maskB: 1.0
1269.3s 416 loss: 0.005612510669214482, maskA: 299.0, maskB: 1.0
1271.7s 417 loss: 0.005342919353701402, maskA: 299.0, maskB: 1.0
1274.2s 418 loss: 0.005097135112964357, maskA: 299.0, maskB: 1.0
1276.6s 419 loss: 0.0049632417110553545, maskA: 299.0, maskB: 1.0
1294.5s 420 Validation loss: 0.002839461352544813
1295.8s 421 loss: 0.004846774204344899, maskA: 299.0, maskB: 1.0
1298.2s 422 loss: 0.004754856791842881, maskA: 299.0, maskB: 1.0
1300.6s 423 loss: 0.0046395640620879456, maskA: 299.0, maskB: 1.0
1303.1s 424 loss: 0.004539847352629751, maskA: 299.0, maskB: 1.0
1305.5s 425 loss: 0.0044322978341442285, maskA: 299.0, maskB: 1.0
1308.0s 426 loss: 0.004317555657115664, maskA: 299.0, maskB: 1.0
1310.4s 427 loss: 0.004219298418484865, maskA: 299.0, maskB: 1.0
1312.9s 428 loss: 0.00413927142468011, maskA: 299.0, maskB: 1.0
1315.3s 429 loss: 0.004070011239027396, maskA: 299.0, maskB: 1.0
1317.7s 430 loss: 0.004023749422582527, maskA: 299.0, maskB: 1.0
1320.2s 431 loss: 0.0039670190999598395, maskA: 299.0, maskB: 1.0
1322.6s 432 loss: 0.003917239562134049, maskA: 299.0, maskB: 1.0
1325.1s 433 loss: 0.0038547194521423443, maskA: 299.0, maskB: 1.0
1327.5s 434 loss: 0.003807356193040808, maskA: 299.0, maskB: 1.0
1330.0s 435 loss: 0.003766900077353903, maskA: 299.0, maskB: 1.0
1332.4s 436 loss: 0.0037509552637336723, maskA: 299.0, maskB: 1.0
1334.8s 437 loss: 0.0037694553789505707, maskA: 299.0, maskB: 1.0
1337.3s 438 loss: 0.0037831757449772875, maskA: 299.0, maskB: 1.0
1339.8s 439 loss: 0.0037935152868371555, maskA: 299.0, maskB: 1.0
1342.2s 440 loss: 0.00375798286636628, maskA: 299.0, maskB: 1.0
1344.6s 441 loss: 0.0037258979435519954, maskA: 299.0, maskB: 1.0
1347.1s 442 loss: 0.0036890613633105054, maskA: 299.0, maskB: 1.0
1349.5s 443 loss: 0.003669900248888049, maskA: 299.0, maskB: 1.0
1351.9s 444 loss: 0.003672884982627104, maskA: 299.0, maskB: 1.0
1354.4s 445 loss: 0.0036893487336611065, maskA: 299.0, maskB: 1.0
1356.8s 446 loss: 0.003701441490188821, maskA: 299.0, maskB: 1.0
1359.3s 447 loss: 0.0037308437025258562, maskA: 299.0, maskB: 1.0
1361.7s 448 loss: 0.003728879512484313, maskA: 299.0, maskB: 1.0
1364.2s 449 loss: 0.003702168641168447, maskA: 299.0, maskB: 1.0
1366.6s 450 loss: 0.0036783280220716993, maskA: 299.0, maskB: 1.0
1384.6s 451 Validation loss: 0.002592029010441202
1385.8s 452 loss: 0.003666833263807758, maskA: 299.0, maskB: 1.0
1388.2s 453 loss: 0.003663067373243455, maskA: 299.0, maskB: 1.0
1390.6s 454 loss: 0.003680737386118783, maskA: 299.0, maskB: 1.0
1393.1s 455 loss: 0.0037172711331040697, maskA: 299.0, maskB: 1.0
1395.5s 456 loss: 0.0037600817841974025, maskA: 299.0, maskB: 1.0
1398.0s 457 loss: 0.0037759395267034346, maskA: 299.0, maskB: 1.0
1400.4s 458 loss: 0.0037625719191624486, maskA: 299.0, maskB: 1.0
1402.9s 459 loss: 0.003752215935106752, maskA: 299.0, maskB: 1.0
1405.3s 460 loss: 0.003739885373863903, maskA: 299.0, maskB: 1.0
1407.7s 461 loss: 0.0037358829793021652, maskA: 299.0, maskB: 1.0
1410.2s 462 loss: 0.003722740419428138, maskA: 299.0, maskB: 1.0
1412.6s 463 loss: 0.0037082778644664848, maskA: 299.0, maskB: 1.0
1415.1s 464 loss: 0.0036992159052535558, maskA: 299.0, maskB: 1.0
1417.5s 465 loss: 0.0036816134049782495, maskA: 299.0, maskB: 1.0
1420.0s 466 loss: 0.0036581843061304453, maskA: 299.0, maskB: 1.0
1422.4s 467 loss: 0.003639212754629735, maskA: 299.0, maskB: 1.0
1424.8s 468 loss: 0.0036252655775770664, maskA: 299.0, maskB: 1.0
1427.3s 469 loss: 0.0036248983402047217, maskA: 299.0, maskB: 1.0
1429.7s 470 loss: 0.003658548019631721, maskA: 299.0, maskB: 1.0
1432.2s 471 loss: 0.003693657882151104, maskA: 299.0, maskB: 1.0
1434.6s 472 loss: 0.0037043593667515197, maskA: 299.0, maskB: 1.0
1437.1s 473 loss: 0.003702275199959979, maskA: 299.0, maskB: 1.0
1439.5s 474 loss: 0.003703205252378063, maskA: 299.0, maskB: 1.0
1441.9s 475 loss: 0.003706277257125345, maskA: 299.0, maskB: 1.0
1444.4s 476 loss: 0.0037056243896734144, maskA: 299.0, maskB: 1.0
1446.9s 477 loss: 0.0036941927997853853, maskA: 299.0, maskB: 1.0
1449.3s 478 loss: 0.0036906081848569867, maskA: 299.0, maskB: 1.0
1451.7s 479 loss: 0.0037159568139016833, maskA: 299.0, maskB: 1.0
1454.2s 480 loss: 0.0037379161182630118, maskA: 299.0, maskB: 1.0
1456.6s 481 loss: 0.0037416042515092817, maskA: 299.0, maskB: 1.0
1474.6s 482 Validation loss: 0.002948433224213286
1475.8s 483 loss: 0.003732462692791633, maskA: 299.0, maskB: 1.0
1478.3s 484 loss: 0.003746997249305451, maskA: 299.0, maskB: 1.0
1480.7s 485 loss: 0.0037699851075368583, maskA: 299.0, maskB: 1.0
1483.2s 486 loss: 0.0038191540207650264, maskA: 299.0, maskB: 1.0
1485.6s 487 loss: 0.0038719634487980816, maskA: 299.0, maskB: 1.0
1488.0s 488 loss: 0.003910562397169154, maskA: 299.0, maskB: 1.0
1490.5s 489 loss: 0.003924454271823994, maskA: 299.0, maskB: 1.0
1492.9s 490 loss: 0.00393646736094161, maskA: 299.0, maskB: 1.0
1495.4s 491 loss: 0.003954716668935996, maskA: 299.0, maskB: 1.0
1497.8s 492 loss: 0.003968491427875075, maskA: 299.0, maskB: 1.0
1500.3s 493 loss: 0.0039778119519636316, maskA: 299.0, maskB: 1.0
1502.7s 494 loss: 0.00400868919557741, maskA: 299.0, maskB: 1.0
1505.1s 495 loss: 0.00402505764440146, maskA: 299.0, maskB: 1.0
1507.6s 496 loss: 0.0040271907262702696, maskA: 299.0, maskB: 1.0
1510.1s 497 loss: 0.004023228099980039, maskA: 299.0, maskB: 1.0
1512.5s 498 loss: 0.004006230722040421, maskA: 299.0, maskB: 1.0
1514.9s 499 loss: 0.003992330383541756, maskA: 299.0, maskB: 1.0
1517.4s 500 loss: 0.00397544315174346, maskA: 299.0, maskB: 1.0
1525.8s 501 /usr/local/lib/python3.11/dist-packages/traitlets/traitlets.py:2915: FutureWarning: --Exporter.preprocessors=["remove_papermill_header.RemovePapermillHeader"] for containers is deprecated in traitlets 5.0. You can pass `--Exporter.preprocessors item` ... multiple times to add items to a list.
1525.8s 502 warn(
1525.8s 503 [NbConvertApp] Converting notebook __notebook__.ipynb to notebook
1526.2s 504 [NbConvertApp] Writing 470610 bytes to __notebook__.ipynb
1527.5s 505 /usr/local/lib/python3.11/dist-packages/traitlets/traitlets.py:2915: FutureWarning: --Exporter.preprocessors=["nbconvert.preprocessors.ExtractOutputPreprocessor"] for containers is deprecated in traitlets 5.0. You can pass `--Exporter.preprocessors item` ... multiple times to add items to a list.
1527.5s 506 warn(
1527.5s 507 [NbConvertApp] Converting notebook __notebook__.ipynb to html
1528.5s 508 [NbConvertApp] Support files will be in __results___files/
1528.5s 509 [NbConvertApp] Making directory __results___files
1528.5s 510 [NbConvertApp] Writing 595155 bytes to __results__.html
